name_in_model Min Max Parameter
r1 6.01 13.63 1kp_bon
r19 0.28 1.82 2kp_kid
r11 0.63 1.1 3kp_int
r6 1.83 5.73 4kp_liv
r23 0.06 0.37 5kp_sto
r12 0.89 1.5 6kp_intg
r24 0.03 0.075 7kp_fat
r8 0.8 2.75 8kp_mus
r17 0.22 1.06 9kp_lun
r10 0.01 0.15 10kp_duo
r26 0.019 0.04 11kp_bra
r15 0.1 0.38 12kp_hea
r21 0.037 2.68 13kp_tes
r20 0.11 0.32 14kkid_p
r7 0.073 0.32 15kliv_p
r29 0.09 1.72 16ksto_out
r25 0.06 0.19 17kfat_p
r9 0.02 0.21 18kmus_p
r18 0.065 0.52 19klun_p
r27 0.02 0.07 20kbra_p
r16 0.03 0.19 21khea_p
r22 0.03 7.16 22ktes_p
r4 1.52 15 23kspl_p
r14 0.02 0.102 24kintg_out
r13 0.16 0.42 25kint_out
r28 0.12 2.55 26kduo_p
r2 0.48 1.92 27kbon_rbc
r5 0.033 0.83 28kbon_spl
r3 0.02 0.07 29krbc_spl
